model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,112,"2,265,670",0.7904,0.7904,0.6667
inception_v3,112,"21,815,078",0.8035,0.8035,0.7000
resnet50,112,"23,600,006",0.8777,0.8646,0.8250
densenet121,112,"7,043,654",0.8603,0.8603,0.7917
efficientnet_b0,112,"4,057,257",0.8821,0.8646,0.7917
