model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,256,"2,265,670",0.8646,0.8646,0.8000
inception_v3,256,"21,815,078",0.8996,0.8996,0.8333
resnet50,256,"23,600,006",0.8996,0.8777,0.8750
densenet121,256,"7,043,654",0.8952,0.8777,0.8333
efficientnet_b0,256,"4,057,257",0.8952,0.8952,0.8917
