model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,64,"2,265,670",0.7424,0.7424,0.6500
resnet50,64,"23,600,006",0.8559,0.8559,0.8000
densenet121,64,"7,043,654",0.8079,0.8079,0.7083
efficientnet_b0,64,"4,057,257",0.8166,0.8166,0.7750
