model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,80,"2,265,670",0.7904,0.7904,0.6750
inception_v3,80,"21,815,078",0.8122,0.8122,0.7167
resnet50,80,"23,600,006",0.8996,0.8384,0.7833
densenet121,80,"7,043,654",0.8210,0.8166,0.8083
efficientnet_b0,80,"4,057,257",0.8603,0.8603,0.7917
