model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,160,"2,265,670",0.8384,0.8341,0.8000
inception_v3,160,"21,815,078",0.8559,0.8559,0.8250
resnet50,160,"23,600,006",0.8777,0.8734,0.8167
densenet121,160,"7,043,654",0.8865,0.8821,0.8250
efficientnet_b0,160,"4,057,257",0.8734,0.8559,0.8333
