model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,96,"2,265,670",0.7773,0.7773,0.7250
inception_v3,96,"21,815,078",0.7817,0.7642,0.7417
resnet50,96,"23,600,006",0.8559,0.8559,0.7917
densenet121,96,"7,043,654",0.8559,0.8559,0.8417
efficientnet_b0,96,"4,057,257",0.8690,0.8690,0.7917
