model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,299,"2,265,670",0.9039,0.8952,0.8250
inception_v3,299,"21,815,078",0.8821,0.8821,0.8667
resnet50,299,"23,600,006",0.9214,0.9214,0.8667
densenet121,299,"7,043,654",0.9039,0.8865,0.9000
efficientnet_b0,299,"4,057,257",0.8952,0.8952,0.8917
