model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,256,"2,265,670",0.8996,0.8996,0.8417
inception_v3,256,"21,815,078",0.9083,0.9083,0.8500
resnet50,256,"23,600,006",0.9083,0.9039,0.8667
densenet121,256,"7,043,654",0.9083,0.8908,0.8000
efficientnet_b0,256,"4,057,257",0.9039,0.8821,0.8250
