model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,56,"2,265,670",0.7424,0.7424,0.6917
resnet50,56,"23,600,006",0.8384,0.8035,0.8333
densenet121,56,"7,043,654",0.7686,0.7380,0.7417
efficientnet_b0,56,"4,057,257",0.7948,0.7729,0.7167
