model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,40,"2,265,670",0.7118,0.7118,0.5667
resnet50,40,"23,600,006",0.8472,0.8253,0.7500
densenet121,40,"7,043,654",0.7729,0.7686,0.6917
efficientnet_b0,40,"4,057,257",0.7467,0.7380,0.6917
