model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,224,"2,265,670",0.8210,0.8210,0.7417
inception_v3,224,"21,815,078",0.8996,0.8821,0.9083
resnet50,224,"23,600,006",0.8952,0.8952,0.7750
densenet121,224,"7,043,654",0.8908,0.8821,0.8500
efficientnet_b0,224,"4,057,257",0.8821,0.8690,0.8250
