model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,40,"2,265,670",0.7904,0.7904,0.7250
resnet50,40,"23,600,006",0.8515,0.8472,0.7667
densenet121,40,"7,043,654",0.7817,0.7729,0.7500
efficientnet_b0,40,"4,057,257",0.7991,0.7860,0.7417
