model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,48,"2,265,670",0.7642,0.7642,0.6667
resnet50,48,"23,600,006",0.8341,0.8341,0.8083
densenet121,48,"7,043,654",0.7948,0.7948,0.7333
efficientnet_b0,48,"4,057,257",0.8122,0.7904,0.7250
