model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,128,"2,265,670",0.8122,0.8122,0.7083
inception_v3,128,"21,815,078",0.8035,0.7860,0.6917
resnet50,128,"23,600,006",0.8690,0.8559,0.8333
densenet121,128,"7,043,654",0.8559,0.8559,0.7917
efficientnet_b0,128,"4,057,257",0.8865,0.8734,0.8250
