model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,192,"2,265,670",0.8428,0.8428,0.7583
inception_v3,192,"21,815,078",0.8559,0.8559,0.8083
resnet50,192,"23,600,006",0.9039,0.8821,0.8667
densenet121,192,"7,043,654",0.8865,0.8865,0.8667
efficientnet_b0,192,"4,057,257",0.8996,0.8646,0.8583
