model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,32,"2,265,670",0.4061,0.4061,0.2167
resnet50,32,"23,600,006",0.7991,0.7991,0.7917
densenet121,32,"7,043,654",0.7686,0.7642,0.6750
efficientnet_b0,32,"4,057,257",0.7336,0.6987,0.6333
