model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,96,"2,265,670",0.8734,0.8734,0.7833
inception_v3,96,"21,815,078",0.7729,0.7729,0.7500
resnet50,96,"23,600,006",0.8646,0.8341,0.8250
densenet121,96,"7,043,654",0.8690,0.8603,0.8250
efficientnet_b0,96,"4,057,257",0.8646,0.8646,0.7500
