model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,56,"2,265,670",0.8035,0.7991,0.7333
resnet50,56,"23,600,006",0.8559,0.8559,0.8000
densenet121,56,"7,043,654",0.7904,0.7904,0.7333
efficientnet_b0,56,"4,057,257",0.8122,0.7773,0.7583
