aug,img_size,model,class,precision,recall,f1,support
aug_light,32,densenet121,warts,0.6923076923076923,0.45,0.5454545454545454,
aug_light,40,densenet121,warts,0.7857142857142857,0.55,0.6470588235294118,
aug_light,48,densenet121,warts,0.8666666666666667,0.65,0.7428571428571429,
aug_light,56,densenet121,warts,0.7647058823529411,0.65,0.7027027027027027,
aug_light,64,densenet121,warts,0.7857142857142857,0.55,0.6470588235294118,
aug_light,80,densenet121,warts,0.7727272727272727,0.85,0.8095238095238095,
aug_light,96,densenet121,warts,0.8888888888888888,0.8,0.8421052631578947,
aug_light,112,densenet121,warts,1.0,0.75,0.8571428571428571,
aug_light,128,densenet121,warts,0.8235294117647058,0.7,0.7567567567567568,
aug_light,160,densenet121,warts,0.8,0.8,0.8,
aug_light,192,densenet121,warts,0.9411764705882353,0.8,0.8648648648648649,
aug_light,224,densenet121,warts,0.9411764705882353,0.8,0.8648648648648649,
aug_light,256,densenet121,warts,0.9444444444444444,0.85,0.8947368421052632,
aug_light,299,densenet121,warts,1.0,0.7,0.8235294117647058,
aug_light,32,efficientnet_b0,atopic_dermatitis,0.46153846153846156,0.6,0.5217391304347826,
aug_light,40,efficientnet_b0,atopic_dermatitis,0.625,0.75,0.6818181818181818,
aug_light,48,efficientnet_b0,atopic_dermatitis,0.631578947368421,0.6,0.6153846153846154,
aug_light,56,efficientnet_b0,atopic_dermatitis,0.7647058823529411,0.65,0.7027027027027027,
aug_light,64,efficientnet_b0,atopic_dermatitis,0.6333333333333333,0.95,0.76,
aug_light,80,efficientnet_b0,atopic_dermatitis,0.6956521739130435,0.8,0.7441860465116279,
aug_light,96,efficientnet_b0,atopic_dermatitis,0.6428571428571429,0.9,0.75,
aug_light,112,efficientnet_b0,atopic_dermatitis,0.6666666666666666,0.7,0.6829268292682927,
aug_light,128,efficientnet_b0,atopic_dermatitis,0.64,0.8,0.7111111111111111,
aug_light,160,efficientnet_b0,atopic_dermatitis,0.6666666666666666,0.9,0.7659574468085106,
aug_light,192,efficientnet_b0,atopic_dermatitis,0.68,0.85,0.7555555555555555,
aug_light,224,efficientnet_b0,atopic_dermatitis,0.6333333333333333,0.95,0.76,
aug_light,256,efficientnet_b0,atopic_dermatitis,0.6896551724137931,1.0,0.8163265306122449,
aug_light,299,efficientnet_b0,atopic_dermatitis,0.7407407407407407,1.0,0.851063829787234,
aug_light,32,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,40,efficientnet_b0,impetigo,0.9523809523809523,1.0,0.975609756097561,
aug_light,48,efficientnet_b0,impetigo,0.9090909090909091,1.0,0.9523809523809523,
aug_light,56,efficientnet_b0,impetigo,0.9523809523809523,1.0,0.975609756097561,
aug_light,64,efficientnet_b0,impetigo,0.9523809523809523,1.0,0.975609756097561,
aug_light,80,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,96,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,112,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,128,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,160,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,192,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,224,efficientnet_b0,impetigo,1.0,1.0,1.0,
aug_light,256,efficientnet_b0,impetigo,1.0,1.0,1.0,
