condition,img_size,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,n_test,inference_ms_per_image,params,run_dir,ckpt_ft
noaug,224,efficientnet_b0,0.8166666666666667,0.8511022927689593,0.8166666666666665,0.8191910018713339,0.8511022927689595,0.8166666666666667,0.819191001871334,120.0,,,v2_outputs\noaug\px224\efficientnet_b0,v2_outputs\noaug\px224\efficientnet_b0\ckpt_ft.keras
noaug,224,inception_v3,0.825,0.8495196324143692,0.8250000000000001,0.8223524279287457,0.8495196324143692,0.825,0.8223524279287457,120.0,,,v2_outputs\noaug\px224\inception_v3,v2_outputs\noaug\px224\inception_v3\ckpt_ft.keras
noaug,224,mobilenet_v2,0.8583333333333333,0.8697649921906215,0.8583333333333334,0.8561556927977801,0.8697649921906214,0.8583333333333333,0.8561556927977801,120.0,,,v2_outputs\noaug\px224\mobilenet_v2,v2_outputs\noaug\px224\mobilenet_v2\ckpt_ft.keras
noaug,224,resnet50,0.85,0.8736635359442376,0.85,0.8501058634037358,0.8736635359442376,0.85,0.8501058634037357,120.0,,,v2_outputs\noaug\px224\resnet50,v2_outputs\noaug\px224\resnet50\ckpt_ft.keras
noaug,256,densenet121,0.8,0.8473266499582289,0.7999999999999999,0.7987750667437807,0.8473266499582289,0.8,0.7987750667437806,120.0,,,v2_outputs\noaug\px256\densenet121,v2_outputs\noaug\px256\densenet121\ckpt_ft.keras
noaug,256,efficientnet_b0,0.825,0.8583553791887125,0.8250000000000001,0.8262970164241571,0.8583553791887124,0.825,0.826297016424157,120.0,,,v2_outputs\noaug\px256\efficientnet_b0,v2_outputs\noaug\px256\efficientnet_b0\ckpt_ft.keras
noaug,256,inception_v3,0.85,0.8743311036789297,0.8500000000000001,0.8484025897778794,0.8743311036789297,0.85,0.8484025897778793,120.0,,,v2_outputs\noaug\px256\inception_v3,v2_outputs\noaug\px256\inception_v3\ckpt_ft.keras
noaug,256,mobilenet_v2,0.8416666666666667,0.8575923797446162,0.8416666666666667,0.8353314594603795,0.8575923797446163,0.8416666666666667,0.8353314594603793,120.0,,,v2_outputs\noaug\px256\mobilenet_v2,v2_outputs\noaug\px256\mobilenet_v2\ckpt_ft.keras
noaug,256,resnet50,0.8666666666666667,0.8806349206349205,0.8666666666666668,0.8655498070132217,0.8806349206349205,0.8666666666666667,0.8655498070132216,120.0,,,v2_outputs\noaug\px256\resnet50,v2_outputs\noaug\px256\resnet50\ckpt_ft.keras
noaug,299,densenet121,0.9,0.9062769102242787,0.9,0.8967759981062334,0.9062769102242786,0.9,0.8967759981062334,120.0,,,v2_outputs\noaug\px299\densenet121,v2_outputs\noaug\px299\densenet121\ckpt_ft.keras
noaug,299,efficientnet_b0,0.8916666666666667,0.9018057965426386,0.8916666666666667,0.8896454358995683,0.9018057965426387,0.8916666666666667,0.8896454358995686,120.0,,,v2_outputs\noaug\px299\efficientnet_b0,v2_outputs\noaug\px299\efficientnet_b0\ckpt_ft.keras
noaug,299,inception_v3,0.8666666666666667,0.8765873015873016,0.8666666666666667,0.8658949610886483,0.8765873015873016,0.8666666666666667,0.8658949610886483,120.0,,,v2_outputs\noaug\px299\inception_v3,v2_outputs\noaug\px299\inception_v3\ckpt_ft.keras
noaug,299,mobilenet_v2,0.825,0.8563939309553344,0.8250000000000001,0.8270584229370241,0.8563939309553344,0.825,0.827058422937024,120.0,,,v2_outputs\noaug\px299\mobilenet_v2,v2_outputs\noaug\px299\mobilenet_v2\ckpt_ft.keras
noaug,299,resnet50,0.8666666666666667,0.8822808833678399,0.8666666666666667,0.8669767728332675,0.8822808833678398,0.8666666666666667,0.8669767728332675,120.0,,,v2_outputs\noaug\px299\resnet50,v2_outputs\noaug\px299\resnet50\ckpt_ft.keras
noaug,32,densenet121,0.725,0.7477873977873978,0.7250000000000001,0.7185998173967604,0.7477873977873979,0.725,0.7185998173967605,120.0,,,v2_outputs\noaug\px32\densenet121,v2_outputs\noaug\px32\densenet121\ckpt_ft.keras
noaug,32,efficientnet_b0,0.65,0.6757007575757575,0.65,0.6394120813475652,0.6757007575757575,0.65,0.6394120813475652,120.0,,,v2_outputs\noaug\px32\efficientnet_b0,v2_outputs\noaug\px32\efficientnet_b0\ckpt_ft.keras
noaug,32,mobilenet_v2,0.6833333333333333,0.7640743616287095,0.6833333333333332,0.6874770312948607,0.7640743616287095,0.6833333333333333,0.6874770312948607,120.0,,,v2_outputs\noaug\px32\mobilenet_v2,v2_outputs\noaug\px32\mobilenet_v2\ckpt_ft.keras
noaug,32,resnet50,0.7,0.7379270109449138,0.7000000000000001,0.6835601210100007,0.7379270109449138,0.7,0.6835601210100006,120.0,,,v2_outputs\noaug\px32\resnet50,v2_outputs\noaug\px32\resnet50\ckpt_ft.keras
noaug,40,densenet121,0.75,0.7872294372294372,0.75,0.7500489443089063,0.7872294372294372,0.75,0.7500489443089063,120.0,,,v2_outputs\noaug\px40\densenet121,v2_outputs\noaug\px40\densenet121\ckpt_ft.keras
noaug,40,efficientnet_b0,0.7416666666666667,0.7655202821869489,0.7416666666666667,0.7312566539831775,0.765520282186949,0.7416666666666667,0.7312566539831775,120.0,,,v2_outputs\noaug\px40\efficientnet_b0,v2_outputs\noaug\px40\efficientnet_b0\ckpt_ft.keras
noaug,40,mobilenet_v2,0.725,0.7595740008783487,0.7250000000000001,0.714134014634919,0.7595740008783487,0.725,0.7141340146349188,120.0,,,v2_outputs\noaug\px40\mobilenet_v2,v2_outputs\noaug\px40\mobilenet_v2\ckpt_ft.keras
noaug,40,resnet50,0.7666666666666667,0.8072538572538573,0.7666666666666666,0.7663973472032857,0.8072538572538571,0.7666666666666667,0.7663973472032858,120.0,,,v2_outputs\noaug\px40\resnet50,v2_outputs\noaug\px40\resnet50\ckpt_ft.keras
noaug,48,densenet121,0.7333333333333333,0.7905304074658913,0.7333333333333333,0.7321331018664337,0.7905304074658913,0.7333333333333333,0.7321331018664338,120.0,,,v2_outputs\noaug\px48\densenet121,v2_outputs\noaug\px48\densenet121\ckpt_ft.keras
noaug,48,efficientnet_b0,0.725,0.7579365079365079,0.7250000000000001,0.7264227642276423,0.7579365079365079,0.725,0.7264227642276423,120.0,,,v2_outputs\noaug\px48\efficientnet_b0,v2_outputs\noaug\px48\efficientnet_b0\ckpt_ft.keras
noaug,48,mobilenet_v2,0.6666666666666666,0.7102525252525252,0.6666666666666666,0.6604919266557198,0.7102525252525252,0.6666666666666666,0.6604919266557198,120.0,,,v2_outputs\noaug\px48\mobilenet_v2,v2_outputs\noaug\px48\mobilenet_v2\ckpt_ft.keras
noaug,48,resnet50,0.8083333333333333,0.8228715728715729,0.8083333333333332,0.7952095013653251,0.8228715728715728,0.8083333333333333,0.795209501365325,120.0,,,v2_outputs\noaug\px48\resnet50,v2_outputs\noaug\px48\resnet50\ckpt_ft.keras
noaug,56,densenet121,0.7333333333333333,0.7874312019210338,0.7333333333333334,0.7319917631135141,0.7874312019210337,0.7333333333333333,0.7319917631135142,120.0,,,v2_outputs\noaug\px56\densenet121,v2_outputs\noaug\px56\densenet121\ckpt_ft.keras
noaug,56,efficientnet_b0,0.7583333333333333,0.792752226338564,0.7583333333333334,0.7542648273366127,0.792752226338564,0.7583333333333333,0.7542648273366128,120.0,,,v2_outputs\noaug\px56\efficientnet_b0,v2_outputs\noaug\px56\efficientnet_b0\ckpt_ft.keras
noaug,56,mobilenet_v2,0.7333333333333333,0.7586289441552599,0.7333333333333334,0.7197590820867598,0.7586289441552599,0.7333333333333333,0.7197590820867598,120.0,,,v2_outputs\noaug\px56\mobilenet_v2,v2_outputs\noaug\px56\mobilenet_v2\ckpt_ft.keras
noaug,56,resnet50,0.8,0.8229437229437228,0.7999999999999999,0.790651017190394,0.8229437229437229,0.8,0.790651017190394,120.0,,,v2_outputs\noaug\px56\resnet50,v2_outputs\noaug\px56\resnet50\ckpt_ft.keras
noaug,64,densenet121,0.75,0.7687301587301588,0.75,0.7450064369182016,0.7687301587301588,0.75,0.7450064369182016,120.0,,,v2_outputs\noaug\px64\densenet121,v2_outputs\noaug\px64\densenet121\ckpt_ft.keras
noaug,64,efficientnet_b0,0.75,0.7847760210803689,0.75,0.745537637796983,0.7847760210803689,0.75,0.7455376377969831,120.0,,,v2_outputs\noaug\px64\efficientnet_b0,v2_outputs\noaug\px64\efficientnet_b0\ckpt_ft.keras
noaug,64,mobilenet_v2,0.725,0.7585705981508081,0.725,0.7118482588519061,0.7585705981508081,0.725,0.7118482588519062,120.0,,,v2_outputs\noaug\px64\mobilenet_v2,v2_outputs\noaug\px64\mobilenet_v2\ckpt_ft.keras
noaug,64,resnet50,0.7916666666666666,0.8239728917478278,0.7916666666666666,0.7857194351248166,0.8239728917478278,0.7916666666666666,0.7857194351248166,120.0,,,v2_outputs\noaug\px64\resnet50,v2_outputs\noaug\px64\resnet50\ckpt_ft.keras
noaug,80,densenet121,0.75,0.7852172518839184,0.75,0.7518944958856572,0.7852172518839186,0.75,0.7518944958856573,120.0,,,v2_outputs\noaug\px80\densenet121,v2_outputs\noaug\px80\densenet121\ckpt_ft.keras
noaug,80,efficientnet_b0,0.8,0.8111111111111112,0.8000000000000002,0.796433410762679,0.8111111111111112,0.8,0.7964334107626792,120.0,,,v2_outputs\noaug\px80\efficientnet_b0,v2_outputs\noaug\px80\efficientnet_b0\ckpt_ft.keras
noaug,80,inception_v3,0.7416666666666667,0.7375404842071508,0.7416666666666666,0.7209398411578384,0.737540484207151,0.7416666666666667,0.7209398411578383,120.0,,,v2_outputs\noaug\px80\inception_v3,v2_outputs\noaug\px80\inception_v3\ckpt_ft.keras
noaug,80,mobilenet_v2,0.7833333333333333,0.8082010582010581,0.7833333333333332,0.7851314816975922,0.8082010582010583,0.7833333333333333,0.7851314816975922,120.0,,,v2_outputs\noaug\px80\mobilenet_v2,v2_outputs\noaug\px80\mobilenet_v2\ckpt_ft.keras
noaug,80,resnet50,0.8083333333333333,0.8292427559668939,0.8083333333333335,0.8014517274603464,0.8292427559668938,0.8083333333333333,0.8014517274603465,120.0,,,v2_outputs\noaug\px80\resnet50,v2_outputs\noaug\px80\resnet50\ckpt_ft.keras
noaug,96,densenet121,0.825,0.8542207792207792,0.8250000000000001,0.8263528138528139,0.8542207792207791,0.825,0.8263528138528138,120.0,,,v2_outputs\noaug\px96\densenet121,v2_outputs\noaug\px96\densenet121\ckpt_ft.keras
noaug,96,efficientnet_b0,0.75,0.7572169059011165,0.75,0.7458074534161491,0.7572169059011163,0.75,0.745807453416149,120.0,,,v2_outputs\noaug\px96\efficientnet_b0,v2_outputs\noaug\px96\efficientnet_b0\ckpt_ft.keras
noaug,96,inception_v3,0.75,0.7824259074259073,0.75,0.7461922622336367,0.7824259074259075,0.75,0.7461922622336367,120.0,,,v2_outputs\noaug\px96\inception_v3,v2_outputs\noaug\px96\inception_v3\ckpt_ft.keras
noaug,96,mobilenet_v2,0.7833333333333333,0.8078892433731143,0.7833333333333333,0.7737510711315497,0.8078892433731143,0.7833333333333333,0.7737510711315498,120.0,,,v2_outputs\noaug\px96\mobilenet_v2,v2_outputs\noaug\px96\mobilenet_v2\ckpt_ft.keras
noaug,96,resnet50,0.825,0.834214158584868,0.8249999999999998,0.8190490026139488,0.8342141585848679,0.825,0.8190490026139486,120.0,,,v2_outputs\noaug\px96\resnet50,v2_outputs\noaug\px96\resnet50\ckpt_ft.keras
aug_light,112,densenet121,0.7916666666666666,0.8430158730158729,0.7916666666666666,0.7904065930642886,0.843015873015873,0.7916666666666666,0.7904065930642886,120.0,,,v2_outputs\aug_light\px112\densenet121,v2_outputs\aug_light\px112\densenet121\ckpt_ft.keras
