model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,112,"2,265,670",0.8472,0.8472,0.7667
inception_v3,112,"21,815,078",0.8210,0.8210,0.7750
resnet50,112,"23,600,006",0.8821,0.8690,0.8333
densenet121,112,"7,043,654",0.8515,0.8472,0.8333
efficientnet_b0,112,"4,057,257",0.8734,0.8690,0.7917
