model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,128,"2,265,670",0.8865,0.8777,0.8083
inception_v3,128,"21,815,078",0.8253,0.8253,0.7333
resnet50,128,"23,600,006",0.8734,0.8559,0.8250
densenet121,128,"7,043,654",0.8821,0.8515,0.8250
efficientnet_b0,128,"4,057,257",0.8996,0.8865,0.8000
