model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,224,"2,265,670",0.9039,0.9039,0.8583
inception_v3,224,"21,815,078",0.8952,0.8952,0.8250
resnet50,224,"23,600,006",0.9214,0.9170,0.8500
densenet121,224,"7,043,654",0.9083,0.8952,0.8500
efficientnet_b0,224,"4,057,257",0.9127,0.8777,0.8167
