model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,80,"2,265,670",0.8384,0.8384,0.7833
inception_v3,80,"21,815,078",0.7773,0.7773,0.7417
resnet50,80,"23,600,006",0.8734,0.8297,0.8083
densenet121,80,"7,043,654",0.8210,0.8079,0.7500
efficientnet_b0,80,"4,057,257",0.8603,0.8603,0.8000
