model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,64,"2,265,670",0.8253,0.8035,0.7250
resnet50,64,"23,600,006",0.8428,0.8297,0.7917
densenet121,64,"7,043,654",0.8253,0.8079,0.7500
efficientnet_b0,64,"4,057,257",0.8210,0.7991,0.7500
