model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,48,"2,265,670",0.7555,0.7555,0.5667
resnet50,48,"23,600,006",0.8210,0.8166,0.7917
densenet121,48,"7,043,654",0.7686,0.7686,0.7333
efficientnet_b0,48,"4,057,257",0.7555,0.7555,0.7417
