model,img_size,params,val_best,val_eval,test_acc
mobilenet_v2,160,"2,265,670",0.9039,0.8996,0.8417
inception_v3,160,"21,815,078",0.8646,0.8646,0.7917
resnet50,160,"23,600,006",0.8821,0.8821,0.8250
densenet121,160,"7,043,654",0.8908,0.8384,0.8500
efficientnet_b0,160,"4,057,257",0.8996,0.8734,0.8250
