InputSize,Model,Aug,Class,precision,recall,f1,support
112,inception_v3,aug_light,atopic_dermatitis,0.6190476190476191,0.65,0.6341463414634146,20
112,inception_v3,noaug,atopic_dermatitis,0.6071428571428571,0.85,0.7083333333333334,20
128,inception_v3,aug_light,atopic_dermatitis,0.65,0.65,0.65,20
128,inception_v3,noaug,atopic_dermatitis,0.5925925925925926,0.8,0.6808510638297872,20
160,inception_v3,aug_light,atopic_dermatitis,0.6153846153846154,0.8,0.6956521739130435,20
160,inception_v3,noaug,atopic_dermatitis,0.7,0.7,0.7,20
192,inception_v3,aug_light,atopic_dermatitis,0.6551724137931034,0.95,0.7755102040816326,20
192,inception_v3,noaug,atopic_dermatitis,0.7037037037037037,0.95,0.8085106382978723,20
224,inception_v3,aug_light,atopic_dermatitis,0.7142857142857143,1.0,0.8333333333333334,20
224,inception_v3,noaug,atopic_dermatitis,0.6785714285714286,0.95,0.7916666666666666,20
256,inception_v3,aug_light,atopic_dermatitis,0.6538461538461539,0.85,0.7391304347826086,20
256,inception_v3,noaug,atopic_dermatitis,0.7307692307692307,0.95,0.8260869565217391,20
299,inception_v3,aug_light,atopic_dermatitis,0.72,0.9,0.8,20
299,inception_v3,noaug,atopic_dermatitis,0.75,0.9,0.8181818181818182,20
32,mobilenet_v2,aug_light,atopic_dermatitis,0.20430107526881722,0.95,0.336283185840708,20
32,mobilenet_v2,noaug,atopic_dermatitis,0.5357142857142857,0.75,0.625,20
40,mobilenet_v2,aug_light,atopic_dermatitis,0.5,0.7,0.5833333333333334,20
40,mobilenet_v2,noaug,atopic_dermatitis,0.5454545454545454,0.9,0.6792452830188679,20
48,mobilenet_v2,aug_light,atopic_dermatitis,0.5,0.75,0.6,20
48,mobilenet_v2,noaug,atopic_dermatitis,0.5,0.75,0.6,20
56,mobilenet_v2,aug_light,atopic_dermatitis,0.6785714285714286,0.95,0.7916666666666666,20
56,mobilenet_v2,noaug,atopic_dermatitis,0.6538461538461539,0.85,0.7391304347826086,20
64,mobilenet_v2,aug_light,atopic_dermatitis,0.68,0.85,0.7555555555555555,20
64,mobilenet_v2,noaug,atopic_dermatitis,0.6923076923076923,0.9,0.782608695652174,20
80,mobilenet_v2,aug_light,atopic_dermatitis,0.64,0.8,0.7111111111111111,20
80,mobilenet_v2,noaug,atopic_dermatitis,0.6666666666666666,0.8,0.7272727272727273,20
96,mobilenet_v2,aug_light,atopic_dermatitis,0.6428571428571429,0.9,0.75,20
96,mobilenet_v2,noaug,atopic_dermatitis,0.6129032258064516,0.95,0.7450980392156863,20
112,mobilenet_v2,aug_light,atopic_dermatitis,0.75,0.75,0.75,20
112,mobilenet_v2,noaug,atopic_dermatitis,0.5555555555555556,1.0,0.7142857142857143,20
